Level,Date,NoOfVacancies,SkillLevel,State,Title
1,01/04/2007,25780.14,0,WA,WA TOTAL
2,01/04/2007,8293.77,1,WA,WA skill level 1
2,01/04/2007,2189.65,2,WA,WA skill level 2
2,01/04/2007,2668.12,3,WA,WA skill level 3
2,01/04/2007,7940.93,4,WA,WA skill level 4
2,01/04/2007,4611.27,5,WA,WA skill level 5
1,01/04/2007,3265.64,0,TAS,TAS TOTAL
2,01/04/2007,562.59,1,TAS,TAS skill level 1
2,01/04/2007,190.94,2,TAS,TAS skill level 2
2,01/04/2007,420.97,3,TAS,TAS skill level 3
2,01/04/2007,964.18,4,TAS,TAS skill level 4
2,01/04/2007,1142.25,5,TAS,TAS skill level 5
1,01/04/2007,3312.62,0,NT,NT TOTAL
2,01/04/2007,734.36,1,NT,NT skill level 1
2,01/04/2007,263.94,2,NT,NT skill level 2
2,01/04/2007,482.89,3,NT,NT skill level 3
2,01/04/2007,1029.29,4,NT,NT skill level 4
2,01/04/2007,840.91,5,NT,NT skill level 5
1,01/04/2007,4530.57,0,ACT,ACT TOTAL
2,01/04/2007,2194.96,1,ACT,ACT skill level 1
2,01/04/2007,491.79,2,ACT,ACT skill level 2
2,01/04/2007,250.35,3,ACT,ACT skill level 3
2,01/04/2007,988.34,4,ACT,ACT skill level 4
2,01/04/2007,578.26,5,ACT,ACT skill level 5
0,01/04/2008,309856.33,0,AUST,AUSTRALIAN TOTAL
2,01/04/2008,109765,1,AUST,Australia skill level 1
2,01/04/2008,28228.35,2,AUST,Australia skill level 2
2,01/04/2008,33493.24,3,AUST,Australia skill level 3
2,01/04/2008,85786.75,4,AUST,Australia skill level 4
2,01/04/2008,52806.28,5,AUST,Australia skill level 5
1,01/04/2008,103104.62,0,NSW,NSW TOTAL
2,01/04/2008,42119.72,1,NSW,NSW skill level 1
2,01/04/2008,8670,2,NSW,NSW skill level 2
2,01/04/2008,9849.35,3,NSW,NSW skill level 3
2,01/04/2008,28103.17,4,NSW,NSW skill level 4
2,01/04/2008,14584.32,5,NSW,NSW skill level 5
1,01/04/2008,71960.24,0,VIC,VIC TOTAL
2,01/04/2008,24537.94,1,VIC,VIC skill level 1
2,01/04/2008,6211.96,2,VIC,VIC skill level 2
2,01/04/2008,7590.42,3,VIC,VIC skill level 3
2,01/04/2008,20596.36,4,VIC,VIC skill level 4
2,01/04/2008,12890.28,5,VIC,VIC skill level 5
1,01/04/2008,73660.62,0,QLD,QLD TOTAL
2,01/04/2008,22826.93,1,QLD,QLD skill level 1
2,01/04/2008,7829.37,2,QLD,QLD skill level 2
2,01/04/2008,9183.1,3,QLD,QLD skill level 3
2,01/04/2008,20206.88,4,QLD,QLD skill level 4
2,01/04/2008,13799.78,5,QLD,QLD skill level 5
1,01/04/2008,17405.09,0,SA,SA TOTAL
2,01/04/2008,4757.71,1,SA,SA skill level 1
2,01/04/2008,1401.25,2,SA,SA skill level 2
2,01/04/2008,2304.07,3,SA,SA skill level 3
2,01/04/2008,5101.26,4,SA,SA skill level 4
2,01/04/2008,3927.47,5,SA,SA skill level 5
1,01/04/2008,32551.82,0,WA,WA TOTAL
2,01/04/2008,11903.86,1,WA,WA skill level 1
2,01/04/2008,3072.95,2,WA,WA skill level 2
2,01/04/2008,3453.53,3,WA,WA skill level 3
2,01/04/2008,9006.89,4,WA,WA skill level 4
2,01/04/2008,5037.97,5,WA,WA skill level 5
1,01/04/2008,3173.09,0,TAS,TAS TOTAL
2,01/04/2008,768.31,1,TAS,TAS skill level 1
2,01/04/2008,233.02,2,TAS,TAS skill level 2
2,01/04/2008,356.64,3,TAS,TAS skill level 3
2,01/04/2008,868.95,4,TAS,TAS skill level 4
2,01/04/2008,953.89,5,TAS,TAS skill level 5
1,01/04/2008,3881.26,0,NT,NT TOTAL
2,01/04/2008,934.3,1,NT,NT skill level 1
2,01/04/2008,312.7,2,NT,NT skill level 2
2,01/04/2008,591.21,3,NT,NT skill level 3
2,01/04/2008,1192.06,4,NT,NT skill level 4
2,01/04/2008,902.64,5,NT,NT skill level 5
1,01/04/2008,4658.12,0,ACT,ACT TOTAL
2,01/04/2008,2182.24,1,ACT,ACT skill level 1
2,01/04/2008,514.82,2,ACT,ACT skill level 2
2,01/04/2008,308,3,ACT,ACT skill level 3
2,01/04/2008,1017.41,4,ACT,ACT skill level 4
2,01/04/2008,602.96,5,ACT,ACT skill level 5
0,01/04/2009,162360.01,0,AUST,AUSTRALIAN TOTAL
2,01/04/2009,58456.56,1,AUST,Australia skill level 1
2,01/04/2009,14025.43,2,AUST,Australia skill level 2
2,01/04/2009,17404.5,3,AUST,Australia skill level 3
2,01/04/2009,41938.84,4,AUST,Australia skill level 4
2,01/04/2009,30924.87,5,AUST,Australia skill level 5
1,01/04/2009,51512.72,0,NSW,NSW TOTAL
2,01/04/2009,20606.22,1,NSW,NSW skill level 1
2,01/04/2009,4013.02,2,NSW,NSW skill level 2
2,01/04/2009,5105.16,3,NSW,NSW skill level 3
2,01/04/2009,13280.6,4,NSW,NSW skill level 4
2,01/04/2009,8746.7,5,NSW,NSW skill level 5
1,01/04/2009,38648.66,0,VIC,VIC TOTAL
2,01/04/2009,13981.62,1,VIC,VIC skill level 1
2,01/04/2009,3267.4,2,VIC,VIC skill level 2
2,01/04/2009,4018.51,3,VIC,VIC skill level 3
2,01/04/2009,9998.91,4,VIC,VIC skill level 4
2,01/04/2009,7393.24,5,VIC,VIC skill level 5
1,01/04/2009,36944.75,0,QLD,QLD TOTAL
2,01/04/2009,12214.19,1,QLD,QLD skill level 1
2,01/04/2009,3367.56,2,QLD,QLD skill level 2
2,01/04/2009,4408.18,3,QLD,QLD skill level 3
2,01/04/2009,9558.54,4,QLD,QLD skill level 4
2,01/04/2009,7666.32,5,QLD,QLD skill level 5
1,01/04/2009,10274.63,0,SA,SA TOTAL
2,01/04/2009,2720.14,1,SA,SA skill level 1
2,01/04/2009,878.55,2,SA,SA skill level 2
2,01/04/2009,1240.98,3,SA,SA skill level 3
2,01/04/2009,2880.5,4,SA,SA skill level 4
2,01/04/2009,2656.44,5,SA,SA skill level 5
1,01/04/2009,15791.31,0,WA,WA TOTAL
2,01/04/2009,5792.03,1,WA,WA skill level 1
2,01/04/2009,1522.41,2,WA,WA skill level 2
2,01/04/2009,1792.44,3,WA,WA skill level 3
2,01/04/2009,4002.68,4,WA,WA skill level 4
2,01/04/2009,2697.02,5,WA,WA skill level 5
1,01/04/2009,2251.7,0,TAS,TAS TOTAL
2,01/04/2009,510.16,1,TAS,TAS skill level 1
2,01/04/2009,158.86,2,TAS,TAS skill level 2
2,01/04/2009,252.12,3,TAS,TAS skill level 3
2,01/04/2009,634.46,4,TAS,TAS skill level 4
2,01/04/2009,695.74,5,TAS,TAS skill level 5
1,01/04/2009,3138.15,0,NT,NT TOTAL
2,01/04/2009,800.43,1,NT,NT skill level 1
2,01/04/2009,377.28,2,NT,NT skill level 2
2,01/04/2009,398.06,3,NT,NT skill level 3
2,01/04/2009,987.08,4,NT,NT skill level 4
2,01/04/2009,612.73,5,NT,NT skill level 5
1,01/04/2009,4292.55,0,ACT,ACT TOTAL
2,01/04/2009,2163.1,1,ACT,ACT skill level 1
2,01/04/2009,498.77,2,ACT,ACT skill level 2
2,01/04/2009,322.89,3,ACT,ACT skill level 3
2,01/04/2009,828.01,4,ACT,ACT skill level 4
2,01/04/2009,460.95,5,ACT,ACT skill level 5
0,01/04/2010,170759.47,0,AUST,AUSTRALIAN TOTAL
2,01/04/2010,62758.94,1,AUST,Australia skill level 1
2,01/04/2010,15692.52,2,AUST,Australia skill level 2
2,01/04/2010,20494.25,3,AUST,Australia skill level 3
2,01/04/2010,45217.22,4,AUST,Australia skill level 4
2,01/04/2010,26959.67,5,AUST,Australia skill level 5
1,01/04/2010,56385.8,0,NSW,NSW TOTAL
2,01/04/2010,23408.82,1,NSW,NSW skill level 1
2,01/04/2010,4911.69,2,NSW,NSW skill level 2
2,01/04/2010,6353.29,3,NSW,NSW skill level 3
2,01/04/2010,14233.89,4,NSW,NSW skill level 4
2,01/04/2010,7648.94,5,NSW,NSW skill level 5
1,01/04/2010,40296.54,0,VIC,VIC TOTAL
2,01/04/2010,14661.87,1,VIC,VIC skill level 1
2,01/04/2010,3845.07,2,VIC,VIC skill level 2
2,01/04/2010,4544.47,3,VIC,VIC skill level 3
2,01/04/2010,10748.1,4,VIC,VIC skill level 4
2,01/04/2010,6467.97,5,VIC,VIC skill level 5
1,01/04/2010,34357.93,0,QLD,QLD TOTAL
2,01/04/2010,11598.97,1,QLD,QLD skill level 1
2,01/04/2010,3224.86,2,QLD,QLD skill level 2
2,01/04/2010,4544.83,3,QLD,QLD skill level 3
2,01/04/2010,9410.6,4,QLD,QLD skill level 4
2,01/04/2010,5893.37,5,QLD,QLD skill level 5
1,01/04/2010,10381.1,0,SA,SA TOTAL
2,01/04/2010,2763.49,1,SA,SA skill level 1
2,01/04/2010,918.1,2,SA,SA skill level 2
2,01/04/2010,1530.86,3,SA,SA skill level 3
2,01/04/2010,3004.11,4,SA,SA skill level 4
2,01/04/2010,2268.91,5,SA,SA skill level 5
1,01/04/2010,20330.75,0,WA,WA TOTAL
2,01/04/2010,7085.96,1,WA,WA skill level 1
2,01/04/2010,1918.58,2,WA,WA skill level 2
2,01/04/2010,2587.31,3,WA,WA skill level 3
2,01/04/2010,5622.84,4,WA,WA skill level 4
2,01/04/2010,3193.53,5,WA,WA skill level 5
1,01/04/2010,2062.91,0,TAS,TAS TOTAL
2,01/04/2010,527.46,1,TAS,TAS skill level 1
2,01/04/2010,184.82,2,TAS,TAS skill level 2
2,01/04/2010,268.62,3,TAS,TAS skill level 3
2,01/04/2010,611.29,4,TAS,TAS skill level 4
2,01/04/2010,466.7,5,TAS,TAS skill level 5
1,01/04/2010,3249.06,0,NT,NT TOTAL
2,01/04/2010,905.37,1,NT,NT skill level 1
2,01/04/2010,329.64,2,NT,NT skill level 2
2,01/04/2010,481.12,3,NT,NT skill level 3
2,01/04/2010,1047.44,4,NT,NT skill level 4
2,01/04/2010,540.44,5,NT,NT skill level 5
1,01/04/2010,4292.51,0,ACT,ACT TOTAL
2,01/04/2010,2224.65,1,ACT,ACT skill level 1
2,01/04/2010,439.05,2,ACT,ACT skill level 2
2,01/04/2010,380.48,3,ACT,ACT skill level 3
2,01/04/2010,765.33,4,ACT,ACT skill level 4
2,01/04/2010,488.8,5,ACT,ACT skill level 5
0,01/04/2011,213893.3,0,AUST,AUSTRALIAN TOTAL
2,01/04/2011,80439.45,1,AUST,Australia skill level 1
2,01/04/2011,19762.49,2,AUST,Australia skill level 2
2,01/04/2011,24786.76,3,AUST,Australia skill level 3
2,01/04/2011,57472.43,4,AUST,Australia skill level 4
2,01/04/2011,31831.57,5,AUST,Australia skill level 5
1,01/04/2011,66692.07,0,NSW,NSW TOTAL
2,01/04/2011,27185.71,1,NSW,NSW skill level 1
2,01/04/2011,5685.6,2,NSW,NSW skill level 2
2,01/04/2011,6965.43,3,NSW,NSW skill level 3
2,01/04/2011,17945.23,4,NSW,NSW skill level 4
2,01/04/2011,9176.05,5,NSW,NSW skill level 5
1,01/04/2011,50510.48,0,VIC,VIC TOTAL
2,01/04/2011,18263.18,1,VIC,VIC skill level 1
2,01/04/2011,4933.67,2,VIC,VIC skill level 2
2,01/04/2011,5687.49,3,VIC,VIC skill level 3
2,01/04/2011,13968.91,4,VIC,VIC skill level 4
2,01/04/2011,7523.06,5,VIC,VIC skill level 5
1,01/04/2011,45466.11,0,QLD,QLD TOTAL
2,01/04/2011,16264.99,1,QLD,QLD skill level 1
2,01/04/2011,4264.62,2,QLD,QLD skill level 2
2,01/04/2011,5989.82,3,QLD,QLD skill level 3
2,01/04/2011,12128.93,4,QLD,QLD skill level 4
2,01/04/2011,7176.69,5,QLD,QLD skill level 5
1,01/04/2011,11787.56,0,SA,SA TOTAL
2,01/04/2011,3421.04,1,SA,SA skill level 1
2,01/04/2011,1054.73,2,SA,SA skill level 2
2,01/04/2011,1566.05,3,SA,SA skill level 3
2,01/04/2011,3369.39,4,SA,SA skill level 4
2,01/04/2011,2473.68,5,SA,SA skill level 5
1,01/04/2011,28326.58,0,WA,WA TOTAL
2,01/04/2011,11385.24,1,WA,WA skill level 1
2,01/04/2011,2696.69,2,WA,WA skill level 2
2,01/04/2011,3424.08,3,WA,WA skill level 3
2,01/04/2011,7293.26,4,WA,WA skill level 4
2,01/04/2011,3652.6,5,WA,WA skill level 5
1,01/04/2011,2074.87,0,TAS,TAS TOTAL
2,01/04/2011,510.21,1,TAS,TAS skill level 1
2,01/04/2011,192.74,2,TAS,TAS skill level 2
2,01/04/2011,268.13,3,TAS,TAS skill level 3
2,01/04/2011,573.65,4,TAS,TAS skill level 4
2,01/04/2011,533.16,5,TAS,TAS skill level 5
1,01/04/2011,3600.61,0,NT,NT TOTAL
2,01/04/2011,1019.44,1,NT,NT skill level 1
2,01/04/2011,372.08,2,NT,NT skill level 2
2,01/04/2011,599.72,3,NT,NT skill level 3
2,01/04/2011,1064.49,4,NT,NT skill level 4
2,01/04/2011,586.17,5,NT,NT skill level 5
1,01/04/2011,6130.57,0,ACT,ACT TOTAL
2,01/04/2011,3105.39,1,ACT,ACT skill level 1
2,01/04/2011,677.28,2,ACT,ACT skill level 2
2,01/04/2011,440.97,3,ACT,ACT skill level 3
2,01/04/2011,1285.63,4,ACT,ACT skill level 4
2,01/04/2011,602.93,5,ACT,ACT skill level 5
0,01/04/2012,186131.08,0,AUST,AUSTRALIAN TOTAL
2,01/04/2012,68109.56,1,AUST,Australia skill level 1
2,01/04/2012,17284.1,2,AUST,Australia skill level 2
2,01/04/2012,23050.3,3,AUST,Australia skill level 3
2,01/04/2012,50575.96,4,AUST,Australia skill level 4
2,01/04/2012,27637.38,5,AUST,Australia skill level 5
1,01/04/2012,55553.98,0,NSW,NSW TOTAL
2,01/04/2012,21860.14,1,NSW,NSW skill level 1
2,01/04/2012,4797.15,2,NSW,NSW skill level 2
2,01/04/2012,6304.04,3,NSW,NSW skill level 3
2,01/04/2012,15131.64,4,NSW,NSW skill level 4
2,01/04/2012,7737.96,5,NSW,NSW skill level 5
1,01/04/2012,41702.79,0,VIC,VIC TOTAL
2,01/04/2012,14885.9,1,VIC,VIC skill level 1
2,01/04/2012,3969.64,2,VIC,VIC skill level 2
2,01/04/2012,4843.8,3,VIC,VIC skill level 3
2,01/04/2012,11693.48,4,VIC,VIC skill level 4
2,01/04/2012,6204.93,5,VIC,VIC skill level 5
1,01/04/2012,41867.12,0,QLD,QLD TOTAL
2,01/04/2012,14443.27,1,QLD,QLD skill level 1
2,01/04/2012,4078.39,2,QLD,QLD skill level 2
2,01/04/2012,5837.51,3,QLD,QLD skill level 3
2,01/04/2012,11271.12,4,QLD,QLD skill level 4
2,01/04/2012,6540.43,5,QLD,QLD skill level 5
1,01/04/2012,9748.19,0,SA,SA TOTAL
2,01/04/2012,2780.84,1,SA,SA skill level 1
2,01/04/2012,834.17,2,SA,SA skill level 2
2,01/04/2012,1314.96,3,SA,SA skill level 3
2,01/04/2012,2831.24,4,SA,SA skill level 4
2,01/04/2012,2079.89,5,SA,SA skill level 5
1,01/04/2012,28618.6,0,WA,WA TOTAL
2,01/04/2012,11363.38,1,WA,WA skill level 1
2,01/04/2012,2690.71,2,WA,WA skill level 2
2,01/04/2012,3889.16,3,WA,WA skill level 3
2,01/04/2012,7340.57,4,WA,WA skill level 4
2,01/04/2012,3501.45,5,WA,WA skill level 5
1,01/04/2012,1654.87,0,TAS,TAS TOTAL
2,01/04/2012,388.45,1,TAS,TAS skill level 1
2,01/04/2012,167.29,2,TAS,TAS skill level 2
2,01/04/2012,222.22,3,TAS,TAS skill level 3
2,01/04/2012,447.96,4,TAS,TAS skill level 4
2,01/04/2012,433.01,5,TAS,TAS skill level 5
1,01/04/2012,3274.13,0,NT,NT TOTAL
2,01/04/2012,966.43,1,NT,NT skill level 1
2,01/04/2012,355.36,2,NT,NT skill level 2
2,01/04/2012,460.66,3,NT,NT skill level 3
2,01/04/2012,996.01,4,NT,NT skill level 4
2,01/04/2012,533,5,NT,NT skill level 5
1,01/04/2012,4359.32,0,ACT,ACT TOTAL
2,01/04/2012,2076.64,1,ACT,ACT skill level 1
2,01/04/2012,523.85,2,ACT,ACT skill level 2
2,01/04/2012,302.57,3,ACT,ACT skill level 3
2,01/04/2012,983.54,4,ACT,ACT skill level 4
2,01/04/2012,467.26,5,ACT,ACT skill level 5
0,01/04/2013,141265.64,0,AUST,AUSTRALIAN TOTAL
2,01/04/2013,52279.16,1,AUST,Australia skill level 1
2,01/04/2013,13312.29,2,AUST,Australia skill level 2
2,01/04/2013,16787.43,3,AUST,Australia skill level 3
2,01/04/2013,38922.17,4,AUST,Australia skill level 4
2,01/04/2013,20571.96,5,AUST,Australia skill level 5
1,01/04/2013,48036.14,0,NSW,NSW TOTAL
2,01/04/2013,19667.55,1,NSW,NSW skill level 1
2,01/04/2013,4241.22,2,NSW,NSW skill level 2
2,01/04/2013,5076.46,3,NSW,NSW skill level 3
2,01/04/2013,12980.7,4,NSW,NSW skill level 4
2,01/04/2013,6296.85,5,NSW,NSW skill level 5
1,01/04/2013,32309.28,0,VIC,VIC TOTAL
2,01/04/2013,12040.97,1,VIC,VIC skill level 1
2,01/04/2013,3112.19,2,VIC,VIC skill level 2
2,01/04/2013,3646.81,3,VIC,VIC skill level 3
2,01/04/2013,8894.84,4,VIC,VIC skill level 4
2,01/04/2013,4586.42,5,VIC,VIC skill level 5
1,01/04/2013,28311.49,0,QLD,QLD TOTAL
2,01/04/2013,9277.88,1,QLD,QLD skill level 1
2,01/04/2013,2675.43,2,QLD,QLD skill level 2
2,01/04/2013,3842.34,3,QLD,QLD skill level 3
2,01/04/2013,7905.32,4,QLD,QLD skill level 4
2,01/04/2013,4780.75,5,QLD,QLD skill level 5
1,01/04/2013,6771.52,0,SA,SA TOTAL
2,01/04/2013,1989.04,1,SA,SA skill level 1
2,01/04/2013,608.26,2,SA,SA skill level 2
2,01/04/2013,843.25,3,SA,SA skill level 3
2,01/04/2013,1972.81,4,SA,SA skill level 4
2,01/04/2013,1419.2,5,SA,SA skill level 5
1,01/04/2013,18748.65,0,WA,WA TOTAL
2,01/04/2013,6808.37,1,WA,WA skill level 1
2,01/04/2013,1966.64,2,WA,WA skill level 2
2,01/04/2013,2596.83,3,WA,WA skill level 3
2,01/04/2013,5193.69,4,WA,WA skill level 4
2,01/04/2013,2271.36,5,WA,WA skill level 5
1,01/04/2013,1476.53,0,TAS,TAS TOTAL
2,01/04/2013,392.92,1,TAS,TAS skill level 1
2,01/04/2013,138.39,2,TAS,TAS skill level 2
2,01/04/2013,169.55,3,TAS,TAS skill level 3
2,01/04/2013,435.25,4,TAS,TAS skill level 4
2,01/04/2013,344.3,5,TAS,TAS skill level 5
1,01/04/2013,2561.69,0,NT,NT TOTAL
2,01/04/2013,711.73,1,NT,NT skill level 1
2,01/04/2013,268.09,2,NT,NT skill level 2
2,01/04/2013,409.99,3,NT,NT skill level 3
2,01/04/2013,776.56,4,NT,NT skill level 4
2,01/04/2013,412.86,5,NT,NT skill level 5
1,01/04/2013,3564.01,0,ACT,ACT TOTAL
2,01/04/2013,1748.18,1,ACT,ACT skill level 1
2,01/04/2013,408.95,2,ACT,ACT skill level 2
2,01/04/2013,234.76,3,ACT,ACT skill level 3
2,01/04/2013,789.28,4,ACT,ACT skill level 4
2,01/04/2013,366.82,5,ACT,ACT skill level 5
0,01/04/2014,143335.64,0,AUST,AUSTRALIAN TOTAL
2,01/04/2014,50643.81,1,AUST,Australia skill level 1
2,01/04/2014,14300.27,2,AUST,Australia skill level 2
2,01/04/2014,17954.49,3,AUST,Australia skill level 3
2,01/04/2014,40152.95,4,AUST,Australia skill level 4
2,01/04/2014,20824.73,5,AUST,Australia skill level 5
1,01/04/2014,50825.55,0,NSW,NSW TOTAL
2,01/04/2014,20023.58,1,NSW,NSW skill level 1
2,01/04/2014,4870.7,2,NSW,NSW skill level 2
2,01/04/2014,5615.98,3,NSW,NSW skill level 3
2,01/04/2014,13780.41,4,NSW,NSW skill level 4
2,01/04/2014,6722.05,5,NSW,NSW skill level 5
1,01/04/2014,34483.27,0,VIC,VIC TOTAL
2,01/04/2014,12357.37,1,VIC,VIC skill level 1
2,01/04/2014,3432.95,2,VIC,VIC skill level 2
2,01/04/2014,3911.66,3,VIC,VIC skill level 3
2,01/04/2014,9807.83,4,VIC,VIC skill level 4
2,01/04/2014,4952.37,5,VIC,VIC skill level 5
1,01/04/2014,27447.55,0,QLD,QLD TOTAL
2,01/04/2014,8686.04,1,QLD,QLD skill level 1
2,01/04/2014,2756,2,QLD,QLD skill level 2
2,01/04/2014,3861.22,3,QLD,QLD skill level 3
2,01/04/2014,7683.17,4,QLD,QLD skill level 4
2,01/04/2014,4573.88,5,QLD,QLD skill level 5
1,01/04/2014,6806.05,0,SA,SA TOTAL
2,01/04/2014,1822.24,1,SA,SA skill level 1
2,01/04/2014,709.55,2,SA,SA skill level 2
2,01/04/2014,947.57,3,SA,SA skill level 3
2,01/04/2014,1997.44,4,SA,SA skill level 4
2,01/04/2014,1369.33,5,SA,SA skill level 5
1,01/04/2014,16844.54,0,WA,WA TOTAL
2,01/04/2014,5218.1,1,WA,WA skill level 1
2,01/04/2014,1902.77,2,WA,WA skill level 2
2,01/04/2014,2855.64,3,WA,WA skill level 3
2,01/04/2014,4864.98,4,WA,WA skill level 4
2,01/04/2014,2081.99,5,WA,WA skill level 5
1,01/04/2014,1506.85,0,TAS,TAS TOTAL
2,01/04/2014,398.46,1,TAS,TAS skill level 1
2,01/04/2014,153.19,2,TAS,TAS skill level 2
2,01/04/2014,175.23,3,TAS,TAS skill level 3
2,01/04/2014,437.37,4,TAS,TAS skill level 4
2,01/04/2014,351.34,5,TAS,TAS skill level 5
1,01/04/2014,2517.85,0,NT,NT TOTAL
2,01/04/2014,712.23,1,NT,NT skill level 1
2,01/04/2014,261.01,2,NT,NT skill level 2
2,01/04/2014,403.2,3,NT,NT skill level 3
2,01/04/2014,783.94,4,NT,NT skill level 4
2,01/04/2014,358.89,5,NT,NT skill level 5
1,01/04/2014,3274.63,0,ACT,ACT TOTAL
2,01/04/2014,1647.87,1,ACT,ACT skill level 1
2,01/04/2014,323.81,2,ACT,ACT skill level 2
2,01/04/2014,217.92,3,ACT,ACT skill level 3
2,01/04/2014,743.29,4,ACT,ACT skill level 4
2,01/04/2014,316.17,5,ACT,ACT skill level 5
0,01/04/2015,156124.21,0,AUST,AUSTRALIAN TOTAL
2,01/04/2015,57289.67,1,AUST,Australia skill level 1
2,01/04/2015,16172.16,2,AUST,Australia skill level 2
2,01/04/2015,18694.51,3,AUST,Australia skill level 3
2,01/04/2015,42981,4,AUST,Australia skill level 4
2,01/04/2015,21459.99,5,AUST,Australia skill level 5
1,01/04/2015,58293.42,0,NSW,NSW TOTAL
2,01/04/2015,23648.9,1,NSW,NSW skill level 1
